Voluntario,Esquina,Horario
1.0,Esquina Centro,19:00 - 20:00
1.0,Esquina Centro,7:00 - 8:30
2.0,Esquina Norte,11:30 - 13:00
3.0,Esquina Centro,19:00 - 20:00
4.0,Esquina Norte,13:00 - 14:30
5.0,Esquina Norte,19:00 - 20:00
6.0,Esquina Centro,11:30 - 13:00
7.0,Esquina Norte,10:00 - 11:30
8.0,Esquina Sur,10:00 - 11:30
9.0,Esquina Sur,11:30 - 13:00
10.0,Esquina Centro,14:30 - 16:00
10.0,Esquina Centro,16:00 - 17:30
10.0,Esquina Centro,17:30 - 19:00
10.0,Esquina Centro,7:00 - 8:30
11.0,Esquina Centro,8:30 - 10:00
12.0,Esquina Norte,8:30 - 10:00
13.0,Esquina Centro,19:00 -  20:00
14.0,Esquina Norte,14:30 - 16:00
14.0,Esquina Norte,17:30 - 19:00
14.0,Esquina Norte,19:00 - 20:00
15.0,Esquina Norte,13:00 - 14:30
16.0,Esquina Norte,8:30 - 10:00
17.0,Esquina Norte,10:00 - 11:30
18.0,Esquina Sur,8:30 - 10:00
19.0,Esquina Norte,17:30 - 19:00
19.0,Esquina Norte,19:00 -  20:00
20.0,Esquina Norte,19:00 -  20:00
21.0,Esquina Centro,10:00 - 11:30
23.0,Esquina Centro,7:00 - 8:30
23.0,Esquina Centro,8:30 - 10:00
24.0,Esquina Centro,13:00 - 14:30
25.0,Esquina Sur,8:30 - 10:00
26.0,Esquina Centro,19:00 -  20:00
27.0,Esquina Norte,14:30 - 16:00
29.0,Esquina Centro,13:00 - 14:30
30.0,Esquina Centro,14:30 - 16:00
31.0,Esquina Centro,17:30 - 19:00
32.0,Esquina Sur,13:00 - 14:30
33.0,Esquina Centro,10:00 - 11:30
34.0,Esquina Sur,19:00 - 20:00
36.0,Esquina Sur,19:00 -  20:00
37.0,Esquina Sur,14:30 - 16:00
38.0,Esquina Centro,17:30 - 19:00
39.0,Esquina Sur,17:30 - 19:00
39.0,Esquina Sur,19:00 -  20:00
40.0,Esquina Norte,16:00 - 17:30
41.0,Esquina Sur,17:30 - 19:00
42.0,Esquina Sur,16:00 - 17:30
43.0,Esquina Norte,11:30 - 13:00
44.0,Esquina Centro,16:00 - 17:30
47.0,Esquina Norte,16:00 - 17:30
48.0,Esquina Sur,13:00 - 14:30
49.0,Esquina Centro,10:00 - 11:30
50.0,Esquina Centro,16:00 - 17:30
51.0,Esquina Sur,10:00 - 11:30
52.0,Esquina Centro,14:30 - 16:00
53.0,Esquina Centro,13:00 - 14:30
54.0,Esquina Centro,11:30 - 13:00
55.0,Esquina Centro,8:30 - 10:00
56.0,Esquina Centro,11:30 - 13:00
57.0,Esquina Sur,16:00 - 17:30
58.0,Esquina Sur,11:30 - 13:00
59.0,Esquina Sur,14:30 - 16:00
