ID;¿Puedes ir a la colecta?;¿Qué día puedes asistir a la colecta?;¿Cuántos turnos puedes hacer el viernes?;¿Qué horario te acomoda más? Coloca todos los que puedas;¿Cuál esquina prefieres? ;¿Cuántos turnos puedes hacer el sábado?;¿Qué horario te acomoda más? Coloca todos los que puedas 2;¿Cuál esquina prefieres?  2;¿Cuántos turnos puedes hacer? (VIERNES 9);¿Qué horario te acomoda más? (VIERNES 9) Coloca todos los que puedas;¿Cuántos turnos puedes hacer? (SÁBADO 10);¿Qué horario te acomoda más? (SABADO 10) Coloca todos los que puedas;¿Cuál esquina prefieres?  3;Tienes auto disponible para la colecta?;Qué día tienes auto disponible?;;
1;Sí voy con todo🤑;Ambos días;;;;;;;Todo el día🤯🤯;7:00 - 8:30, 19:00 - 20:00;Todo el día🤯🤯;19:00 - 20:00;Donde me necesiten;Si (te amamos);Viernes;;
2;Sí voy con todo🤑;Viernes 9;2;10:00 - 11:30, 11:30 - 13:00;Tobalaba con El Bosque;;;;;;;;;Sí (te amamos);Viernes;;
3;Sí voy con todo🤑;Ambos días;;;;;;;1;19:00 - 20:00;1;14:30 - 16:00;Donde me necesiten;No😔;;;
4;Sí voy con todo🤑;Viernes 9;3;13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30, 17:30 - 19:00;Francisco Bilbao con Tobalaba, Tobalaba con El Bosque;;;;;;;;;Sí (te amamos);Viernes;;
5;Sí voy con todo🤑;Ambos días;;;;;;;3;17:30 - 19:00, 19:00 - 20:00;3;13:00 - 14:30, 14:30 - 16:00;Donde me necesiten;No😔;;;
6;Sí voy con todo🤑;Viernes 9;1;11:30 - 13:00;Tobalaba con El Bosque;;;;;;;;;No😔;;;
7;Sí voy con todo🤑;Sábado 10;;;;1;10:00 - 11:30;Donde me necesiten;;;;;;No😔;;;
8;Sí voy con todo🤑;Sábado 10;;;;1;10:00 - 11:30;Donde me necesiten;;;;;;No😔;;;
9;Sí voy con todo🤑;Viernes 9;1;11:30 - 13:00;Donde me necesiten;;;;;;;;;No😔;;;
10;Sí voy con todo🤑;Ambos días;;;;;;;1;7:00 - 8:30;2;14:30 - 16:00, 16:00 - 17:30, 17:30 - 19:00;Francisco Bilbao con Tobalaba, Tobalaba con El Bosque;No😔;;;
11;Sí voy con todo🤑;Sábado 10;;;;2;8:30 - 10:00, 10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30;Donde me necesiten;;;;;;No😔;;;
12;Sí voy con todo🤑;Viernes 9;1;8:30 - 10:00, 16:00 - 17:30;Donde me necesiten;;;;;;;;;No😔;;;
13;Sí voy con todo🤑;Viernes 9;2;13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30, 17:30 - 19:00, 19:00 -  20:00;Donde me necesiten;;;;;;;;;No😔;;;
14;Sí voy con todo🤑;Ambos días;;;;;;;1;17:30 - 19:00, 19:00 - 20:00;1;14:30 - 16:00, 16:00 - 17:30;Francisco Bilbao con Tobalaba, Tobalaba con El Bosque;Sí (te amamos);Sábado;;
15;Sí voy con todo🤑;Sábado 10;;;;2;13:00 - 14:30, 14:30 - 16:00;Francisco Bilbao con Tobalaba;;;;;;No😔;Ambos días🥰;;
16;Sí voy con todo🤑;Sábado 10;;;;2;8:30 - 10:00, 10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30;Donde me necesiten;;;;;;No😔;Ambos días🥰;;
17;Sí voy con todo🤑;Viernes 9;2;10:00 - 11:30, 16:00 - 17:30;Tobalaba con El Bosque;;;;;;;;;No😔;;;
18;Sí voy con todo🤑;Viernes 9;2;8:30 - 10:00, 10:00 - 11:30, 11:30 - 13:00;Francisco Bilbao con Tobalaba, Tobalaba con El Bosque;;;;;;;;;No😔;;;
19;Sí voy con todo🤑;Viernes 9;2;17:30 - 19:00, 19:00 -  20:00;Francisco Bilbao con Tobalaba;;;;;;;;;Sí (te amamos);Ambos días🥰;;
20;Sí voy con todo🤑;Viernes 9;2;10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30, 17:30 - 19:00, 19:00 -  20:00;Donde me necesiten;;;;;;;;;Sí (te amamos);Viernes;;
21;Sí voy con todo🤑;Viernes 9;1;10:00 - 11:30, 11:30 - 13:00;Donde me necesiten;;;;;;;;;No😔;;;
22;No, odio a financiamiento😡😡;;;;;;;;;;;;;;;;
23;Sí voy con todo🤑;Viernes 9;2;7:00 - 8:30, 8:30 - 10:00, 10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30;Los Leones con Eliodoro Yañez;;;;;;;;;No😔;;;
24;Sí voy con todo🤑;Viernes 9;2;10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30;Francisco Bilbao con Tobalaba, Tobalaba con El Bosque;;;;;;;;;No😔;;;
25;Sí voy con todo🤑;Sábado 10;;;;1;8:30 - 10:00, 10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30;Los Leones con Eliodoro Yañez;;;;;;No😔;;;
26;Sí voy con todo🤑;Viernes 9;1;17:30 - 19:00, 19:00 -  20:00;Donde me necesiten;;;;;;;;;No😔;;;
27;Sí voy con todo🤑;Viernes 9;2;14:30 - 16:00, 16:00 - 17:30;Los Leones con Eliodoro Yañez;;;;;;;;;No😔;;;
28;No, odio a financiamiento😡😡;;;;;;;;;;;;;;;;
29;Sí voy con todo🤑;Sábado 10;;;;2;13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30, 17:30 - 19:00, Cualquier horario está bien😯;Francisco Bilbao con Tobalaba, Tobalaba con El Bosque;;;;;;No😔;;;
30;Sí voy con todo🤑;Viernes 9;2;14:30 - 16:00, 16:00 - 17:30;Donde me necesiten;;;;;;;;;No😔;;;
31;Sí voy con todo🤑;Sábado 10;;;;2;16:00 - 17:30, 17:30 - 19:00;Donde me necesiten;;;;;;No😔;;;
32;Sí voy con todo🤑;Sábado 10;;;;1;10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30;Donde me necesiten;;;;;;No😔;;;
33;Sí voy con todo🤑;Sábado 10;;;;2;10:00 - 11:30, 11:30 - 13:00;Francisco Bilbao con Tobalaba;;;;;;No😔;;;
34;Sí voy con todo🤑;Sábado 10;;;;1;16:00 - 17:30, 17:30 - 19:00, 19:00 - 20:00;Francisco Bilbao con Tobalaba, Los Leones con Eliodoro Yañez;;;;;;No😔;;;
35;No, odio a financiamiento😡😡;;;;;;;;;;;;;;;;
36;Sí voy con todo🤑;Viernes 9;2;13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30, 17:30 - 19:00, 19:00 -  20:00;Donde me necesiten;;;;;;;;;No😔;;;
37;Sí voy con todo🤑;Sábado 10;;;;2;13:00 - 14:30, 14:30 - 16:00;Francisco Bilbao con Tobalaba, Los Leones con Eliodoro Yañez, Tobalaba con El Bosque, Donde me necesiten;;;;;;No😔;;;
38;Sí voy con todo🤑;Viernes 9;1;17:30 - 19:00;Francisco Bilbao con Tobalaba;;;;;;;;;No😔;;;
39;Sí voy con todo🤑;Viernes 9;2;17:30 - 19:00, 19:00 -  20:00;Donde me necesiten;;;;;;;;;Sí (te amamos);Viernes;;
40;Sí voy con todo🤑;Sábado 10;;;;2;14:30 - 16:00, 16:00 - 17:30;Tobalaba con El Bosque;;;;;;No😔;;;
41;Sí voy con todo🤑;Viernes 9;2;16:00 - 17:30, 17:30 - 19:00;Los Leones con Eliodoro Yañez;;;;;;;;;Sí (te amamos);Viernes;;
42;Sí voy con todo🤑;Viernes 9;2;11:30 - 13:00, 16:00 - 17:30;Donde me necesiten;;;;;;;;;No😔;;;
43;Sí voy con todo🤑;Viernes 9;1;11:30 - 13:00;Tobalaba con El Bosque;;;;;;;;;No😔;;;
44;Sí voy con todo🤑;Sábado 10;;;;1;16:00 - 17:30;Tobalaba con El Bosque;;;;;;Sí (te amamos);Sábado;;
45;No, odio a financiamiento😡😡;;;;;;;;;;;;;;;;
46;No, odio a financiamiento😡😡;;;;;;;;;;;;;;;;
47;Sí voy con todo🤑;Viernes 9;1;16:00 - 17:30;Francisco Bilbao con Tobalaba;;;;;;;;;No😔;;;
48;Sí voy con todo🤑;Viernes 9;1;13:00 - 14:30;Donde me necesiten;;;;;;;;;No😔;;;
49;Sí voy con todo🤑;Viernes 9;1;10:00 - 11:30, 11:30 - 13:00;Tobalaba con El Bosque;;;;;;;;;No😔;;;
50;Sí voy con todo🤑;Sábado 10;;;;1;16:00 - 17:30;Francisco Bilbao con Tobalaba;;;;;;No😔;;;
51;Sí voy con todo🤑;Viernes 9;1;10:00 - 11:30;Donde me necesiten;;;;;;;;;No😔;;;
52;Sí voy con todo🤑;Ambos días;;;;;;;1;14:30 - 16:00;1;14:30 - 16:00;Los Leones con Eliodoro Yañez, Tobalaba con El Bosque;No😔;;;
53;Sí voy con todo🤑;Viernes 9;1;13:00 - 14:30;Francisco Bilbao con Tobalaba;;;;;;;;;No😔;;;
54;Sí voy con todo🤑;Sábado 10;;;;2;10:00 - 11:30, 11:30 - 13:00;Tobalaba con El Bosque;;;;;;No😔;;;
55;Sí voy con todo🤑;Sábado 10;;;;1;8:30 - 10:00;Tobalaba con El Bosque;;;;;;No😔;;;
56;Sí voy con todo🤑;Sábado 10;;;;1;11:30 - 13:00;Donde me necesiten;;;;;;Sí (te amamos);Sábado;;
57;Sí voy con todo🤑;Sábado 10;;;;2;10:00 - 11:30, 11:30 - 13:00, 13:00 - 14:30, 14:30 - 16:00, 16:00 - 17:30, Cualquier horario está bien😯;Donde me necesiten;;;;;;No😔;;;
58;Sí voy con todo🤑;Sábado 10;;;;2;11:30 - 13:00, 13:00 - 14:30, 14:30 - 16:00;Donde me necesiten;;;;;;No😔;;;
59;Sí voy con todo🤑;Sábado 10;;;;2;13:00 - 14:30, 14:30 - 16:00;Tobalaba con El Bosque;;;;;;No😔;;;
